itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
28,3,327,0,330,24,0,0.151965,10.348568999999998,0.0,30.840480000000003,2.387088,0.0,43.728102,0.19799999999999998,0.6474599999999999,0.0,26.136,2.1384,0.0,29.11986
29,3,337,0,340,25,0,0.151965,10.665039,0.0,31.775039999999997,2.4865500000000003,0.0,45.078594,0.19799999999999998,0.66726,0.0,26.927999999999997,2.2275,0.0,30.020759999999996
30,3,347,0,350,25,0,0.151965,10.981508999999999,0.0,32.7096,2.4865500000000003,0.0,46.329624,0.19799999999999998,0.6870599999999999,0.0,27.72,2.2275,0.0,30.832559999999997
31,3,357,0,360,25,0,0.151965,11.297978999999998,0.0,33.64416,2.4865500000000003,0.0,47.580654,0.19799999999999998,0.7068599999999998,0.0,28.512,2.2275,0.0,31.64436
32,3,367,0,370,26,0,0.151965,11.614448999999999,0.0,34.57872,2.5860119999999998,0.0,48.93114599999999,0.19799999999999998,0.7266599999999999,0.0,29.304000000000002,2.3165999999999998,0.0,32.54526
33,3,377,0,380,26,0,0.151965,11.930919,0.0,35.51328,2.5860119999999998,0.0,50.182176,0.19799999999999998,0.7464599999999999,0.0,30.096,2.3165999999999998,0.0,33.35706
34,3,387,0,390,26,0,0.151965,12.247388999999998,0.0,36.44784,2.5860119999999998,0.0,51.433206,0.19799999999999998,0.7662599999999999,0.0,30.887999999999998,2.3165999999999998,0.0,34.168859999999995
35,3,397,0,400,27,0,0.151965,12.563858999999999,0.0,37.382400000000004,2.6854739999999997,0.0,52.783698,0.19799999999999998,0.7860599999999999,0.0,31.679999999999996,2.4057,0.0,35.06976
36,3,406,0,410,27,0,0.151965,12.848681999999998,0.0,38.31696,2.6854739999999997,0.0,54.003081,0.19799999999999998,0.8038799999999999,0.0,32.472,2.4057,0.0,35.879580000000004
37,3,416,0,420,27,0,0.151965,13.165151999999997,0.0,39.25152,2.6854739999999997,0.0,55.254110999999995,0.19799999999999998,0.82368,0.0,33.263999999999996,2.4057,0.0,36.69138
38,3,426,0,430,28,0,0.151965,13.481621999999998,0.0,40.18608,2.784936,0.0,56.604603,0.19799999999999998,0.8434799999999999,0.0,34.056,2.4947999999999997,0.0,37.592279999999995
39,3,436,0,440,28,0,0.151965,13.798091999999999,0.0,41.12064,2.784936,0.0,57.855633000000005,0.19799999999999998,0.8632799999999999,0.0,34.848,2.4947999999999997,0.0,38.40407999999999
40,3,446,0,450,29,0,0.151965,14.114562,0.0,42.0552,2.884398,0.0,59.20612499999999,0.19799999999999998,0.8830799999999998,0.0,35.64,2.5839,0.0,39.30498
41,3,456,0,460,29,0,0.151965,14.431031999999998,0.0,42.98976,2.884398,0.0,60.45715499999999,0.19799999999999998,0.9028799999999998,0.0,36.432,2.5839,0.0,40.11678
42,4,466,0,470,29,0,0.20262,14.747501999999999,0.0,43.92432,2.884398,0.0,61.75884,0.264,0.9226799999999998,0.0,37.224,2.5839,0.0,40.99458
43,4,476,0,480,30,0,0.20262,15.063972,0.0,44.85888,2.98386,0.0,63.109332,0.264,0.9424799999999999,0.0,38.016,2.6729999999999996,0.0,41.89548
44,4,486,0,490,30,0,0.20262,15.380441999999999,0.0,45.793440000000004,2.98386,0.0,64.36036200000001,0.264,0.9622799999999998,0.0,38.808,2.6729999999999996,0.0,42.707280000000004
45,4,496,0,500,30,0,0.20262,15.696912,0.0,46.727999999999994,2.98386,0.0,65.611392,0.264,0.9820799999999998,0.0,39.599999999999994,2.6729999999999996,0.0,43.519079999999995
46,4,506,0,510,31,0,0.20262,16.013381999999996,0.0,47.66256,3.0833219999999995,0.0,66.961884,0.264,1.0018799999999999,0.0,40.391999999999996,2.7620999999999998,0.0,44.419979999999995
47,4,516,0,520,31,0,0.20262,16.329852,0.0,48.59712,3.0833219999999995,0.0,68.212914,0.264,1.02168,0.0,41.184,2.7620999999999998,0.0,45.23177999999999
48,4,526,0,530,31,0,0.20262,16.646321999999998,0.0,49.53168,3.0833219999999995,0.0,69.463944,0.264,1.04148,0.0,41.976,2.7620999999999998,0.0,46.04358
49,4,536,0,540,32,0,0.20262,16.962791999999997,0.0,50.46624,3.182784,0.0,70.814436,0.264,1.06128,0.0,42.768,2.8512,0.0,46.94448
50,4,545,0,550,32,0,0.20262,17.247614999999996,0.0,51.4008,3.182784,0.0,72.033819,0.264,1.0790999999999997,0.0,43.56,2.8512,0.0,47.7543
51,4,555,0,560,32,0,0.20262,17.564085,0.0,52.33536,3.182784,0.0,73.284849,0.264,1.0988999999999998,0.0,44.352,2.8512,0.0,48.5661
52,4,565,0,570,33,0,0.20262,17.880554999999998,0.0,53.269920000000006,3.282246,0.0,74.635341,0.264,1.1186999999999998,0.0,45.144,2.9402999999999997,0.0,49.467
53,4,575,0,580,33,0,0.20262,18.197024999999996,0.0,54.20448,3.282246,0.0,75.886371,0.264,1.1384999999999998,0.0,45.936,2.9402999999999997,0.0,50.2788
54,4,585,0,590,33,0,0.20262,18.513495,0.0,55.139039999999994,3.282246,0.0,77.137401,0.264,1.1582999999999999,0.0,46.727999999999994,2.9402999999999997,0.0,51.090599999999995
55,4,595,0,600,34,0,0.20262,18.829964999999998,0.0,56.0736,3.381708,0.0,78.487893,0.264,1.1781,0.0,47.519999999999996,3.0294,0.0,51.991499999999995
56,5,605,0,610,34,0,0.253275,19.146434999999997,0.0,57.008160000000004,3.381708,0.0,79.789578,0.33,1.1979,0.0,48.312,3.0294,0.0,52.8693
57,5,615,0,620,34,0,0.253275,19.462905,0.0,57.94272000000001,3.381708,0.0,81.040608,0.33,1.2177,0.0,49.104,3.0294,0.0,53.6811
58,5,625,0,630,35,0,0.253275,19.779374999999998,0.0,58.87728,3.4811699999999997,0.0,82.39110000000001,0.33,1.2374999999999998,0.0,49.896,3.1184999999999996,0.0,54.582
59,5,635,0,640,35,0,0.253275,20.095844999999997,0.0,59.81184,3.4811699999999997,0.0,83.64213,0.33,1.2572999999999999,0.0,50.687999999999995,3.1184999999999996,0.0,55.39379999999999
