itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
33,3,346,0,350,25,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.6850799999999999,0.0,27.72,2.2275,0.0,30.830579999999998
34,4,356,0,360,26,0,0.050655,0.31647,0.0,0.93456,0.099462,0.0,1.401147,0.264,0.70488,0.0,28.512,2.3165999999999998,0.0,31.79748
35,4,366,0,370,26,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.7246799999999999,0.0,29.304000000000002,2.3165999999999998,0.0,32.60928
36,4,376,0,380,26,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.7444799999999998,0.0,30.096,2.3165999999999998,0.0,33.421079999999996
37,4,386,0,390,27,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.7642799999999998,0.0,30.887999999999998,2.4057,0.0,34.321979999999996
38,4,396,0,400,27,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.7840799999999999,0.0,31.679999999999996,2.4057,0.0,35.13378
39,4,406,0,410,28,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.8038799999999999,0.0,32.472,2.4947999999999997,0.0,36.03468
40,4,416,0,420,28,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.82368,0.0,33.263999999999996,2.4947999999999997,0.0,36.84647999999999
41,4,425,0,430,28,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.264,0.8414999999999999,0.0,34.056,2.4947999999999997,0.0,37.656299999999995
42,4,435,0,440,29,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.8612999999999998,0.0,34.848,2.5839,0.0,38.5572
43,4,445,0,450,29,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.8810999999999998,0.0,35.64,2.5839,0.0,39.369
44,4,455,0,460,29,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.9008999999999998,0.0,36.432,2.5839,0.0,40.180800000000005
45,5,465,0,470,30,0,0.050655,0.31647,0.0,0.93456,0.099462,0.0,1.401147,0.33,0.9206999999999999,0.0,37.224,2.6729999999999996,0.0,41.1477
46,5,475,0,480,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.9404999999999999,0.0,38.016,2.6729999999999996,0.0,41.9595
47,5,485,0,490,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.9602999999999999,0.0,38.808,2.6729999999999996,0.0,42.771300000000004
48,5,495,0,500,31,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.9800999999999999,0.0,39.599999999999994,2.7620999999999998,0.0,43.67219999999999
49,5,505,0,510,31,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.9998999999999999,0.0,40.391999999999996,2.7620999999999998,0.0,44.483999999999995
50,5,515,0,520,31,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,1.0196999999999998,0.0,41.184,2.7620999999999998,0.0,45.29579999999999
51,5,525,0,530,32,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,1.0394999999999999,0.0,41.976,2.8512,0.0,46.1967
52,5,534,0,540,32,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.33,1.0573199999999998,0.0,42.768,2.8512,0.0,47.00652
53,5,544,0,550,32,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,1.0771199999999999,0.0,43.56,2.8512,0.0,47.81832
54,5,554,0,560,33,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,1.09692,0.0,44.352,2.9402999999999997,0.0,48.71922
55,5,564,0,570,33,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,1.11672,0.0,45.144,2.9402999999999997,0.0,49.53102
56,5,574,0,580,33,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,1.13652,0.0,45.936,2.9402999999999997,0.0,50.34282
57,6,584,0,590,34,0,0.050655,0.31647,0.0,0.93456,0.099462,0.0,1.401147,0.39599999999999996,1.1563199999999998,0.0,46.727999999999994,3.0294,0.0,51.30972
58,6,594,0,600,34,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.1761199999999998,0.0,47.519999999999996,3.0294,0.0,52.12152
59,6,604,0,610,34,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.1959199999999996,0.0,48.312,3.0294,0.0,52.93332
60,6,614,0,620,35,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,1.2157199999999997,0.0,49.104,3.1184999999999996,0.0,53.834219999999995
