itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
17,2,178,0,180,19,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.132,0.35244,0.0,14.256,1.6928999999999998,0.0,16.43334
18,2,187,0,190,19,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.132,0.37026,0.0,15.048,1.6928999999999998,0.0,17.24316
19,2,197,0,200,20,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.132,0.3900599999999999,0.0,15.839999999999998,1.782,0.0,18.14406
20,2,207,0,210,20,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.132,0.40985999999999995,0.0,16.631999999999998,1.782,0.0,18.955859999999998
21,2,217,0,220,20,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.132,0.42965999999999993,0.0,17.424,1.782,0.0,19.76766
22,3,227,0,230,21,0,0.050655,0.31647,0.0,0.93456,0.099462,0.0,1.401147,0.19799999999999998,0.4494599999999999,0.0,18.216,1.8710999999999998,0.0,20.73456
23,3,237,0,240,21,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.46925999999999995,0.0,19.008,1.8710999999999998,0.0,21.546359999999996
24,3,247,0,250,22,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.19799999999999998,0.48906,0.0,19.799999999999997,1.9601999999999997,0.0,22.447259999999996
25,3,257,0,260,22,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.5088599999999999,0.0,20.592,1.9601999999999997,0.0,23.259059999999998
26,3,267,0,270,22,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.5286599999999999,0.0,21.384,1.9601999999999997,0.0,24.07086
27,3,276,0,280,23,0,0.0,0.284823,0.0,0.93456,0.099462,0.0,1.3188449999999998,0.19799999999999998,0.54648,0.0,22.176,2.0492999999999997,0.0,24.969779999999997
28,3,286,0,290,23,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.5662799999999999,0.0,22.968,2.0492999999999997,0.0,25.781579999999998
29,3,296,0,300,23,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.19799999999999998,0.5860799999999999,0.0,23.759999999999998,2.0492999999999997,0.0,26.593379999999996
30,3,306,0,310,24,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.19799999999999998,0.60588,0.0,24.552,2.1384,0.0,27.49428
31,4,316,0,320,24,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.264,0.6256799999999999,0.0,25.343999999999998,2.1384,0.0,28.372079999999997
32,4,326,0,330,24,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.6454799999999999,0.0,26.136,2.1384,0.0,29.18388
33,4,336,0,340,25,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.6652799999999999,0.0,26.927999999999997,2.2275,0.0,30.084779999999995
34,4,346,0,350,25,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.6850799999999999,0.0,27.72,2.2275,0.0,30.896579999999997
35,4,356,0,360,25,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.70488,0.0,28.512,2.2275,0.0,31.70838
36,4,366,0,370,26,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.7246799999999999,0.0,29.304000000000002,2.3165999999999998,0.0,32.60928
37,4,375,0,380,26,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.264,0.7424999999999999,0.0,30.096,2.3165999999999998,0.0,33.4191
38,4,385,0,390,26,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.7622999999999999,0.0,30.887999999999998,2.3165999999999998,0.0,34.2309
39,4,395,0,400,27,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.7820999999999999,0.0,31.679999999999996,2.4057,0.0,35.1318
40,4,405,0,410,27,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.8018999999999998,0.0,32.472,2.4057,0.0,35.9436
41,5,415,0,420,27,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.33,0.8216999999999999,0.0,33.263999999999996,2.4057,0.0,36.8214
42,5,425,0,430,28,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.8414999999999999,0.0,34.056,2.4947999999999997,0.0,37.7223
43,5,435,0,440,28,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.8612999999999998,0.0,34.848,2.4947999999999997,0.0,38.534099999999995
44,5,445,0,450,28,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.8810999999999998,0.0,35.64,2.4947999999999997,0.0,39.3459
45,5,455,0,460,29,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.9008999999999998,0.0,36.432,2.5839,0.0,40.2468
46,5,465,0,470,29,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.9206999999999999,0.0,37.224,2.5839,0.0,41.0586
47,5,474,0,480,30,0,0.0,0.284823,0.0,0.93456,0.099462,0.0,1.3188449999999998,0.33,0.9385199999999999,0.0,38.016,2.6729999999999996,0.0,41.95752
