itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,166,0,170,143,0,0.151965,5.2534019999999995,0.0,15.887519999999999,14.223065999999998,0.0,35.515952999999996,0.19799999999999998,0.32867999999999997,0.0,13.463999999999999,12.741299999999999,0.0,26.73198
2,3,176,0,180,144,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.19799999999999998,0.34847999999999996,0.0,14.256,12.8304,0.0,27.63288
3,4,186,0,190,144,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.264,0.36827999999999994,0.0,15.048,12.8304,0.0,28.51068
4,4,196,0,200,144,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.38808,0.0,15.839999999999998,12.8304,0.0,29.32248
5,4,206,0,210,145,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.40787999999999996,0.0,16.631999999999998,12.9195,0.0,30.22338
6,4,216,0,220,145,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.42767999999999995,0.0,17.424,12.9195,0.0,31.03518
7,4,226,0,230,145,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.44748,0.0,18.216,12.9195,0.0,31.846980000000002
8,4,236,0,240,146,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.4672799999999999,0.0,19.008,13.0086,0.0,32.74788
9,4,245,0,250,146,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.264,0.4850999999999999,0.0,19.799999999999997,13.0086,0.0,33.5577
10,4,255,0,260,146,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.5049,0.0,20.592,13.0086,0.0,34.369499999999995
11,4,265,0,270,147,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.264,0.5246999999999998,0.0,21.384,13.0977,0.0,35.270399999999995
12,4,275,0,280,147,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.264,0.5444999999999999,0.0,22.176,13.0977,0.0,36.0822
13,5,285,0,290,147,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.33,0.5642999999999999,0.0,22.968,13.0977,0.0,36.96
14,5,295,0,300,148,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.5841,0.0,23.759999999999998,13.1868,0.0,37.8609
15,5,305,0,310,148,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.6039,0.0,24.552,13.1868,0.0,38.6727
16,5,315,0,320,148,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.6236999999999999,0.0,25.343999999999998,13.1868,0.0,39.4845
17,5,325,0,330,149,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.6434999999999998,0.0,26.136,13.275899999999998,0.0,40.3854
18,5,334,0,340,149,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.33,0.6613199999999999,0.0,26.927999999999997,13.275899999999998,0.0,41.19522
19,5,344,0,350,149,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.6811199999999998,0.0,27.72,13.275899999999998,0.0,42.00702
20,5,354,0,360,150,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.7009199999999999,0.0,28.512,13.364999999999998,0.0,42.90792
21,5,364,0,370,150,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.7207199999999999,0.0,29.304000000000002,13.364999999999998,0.0,43.719719999999995
22,6,374,0,380,150,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.39599999999999996,0.74052,0.0,30.096,13.364999999999998,0.0,44.59752
23,6,384,0,390,151,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,0.7603199999999999,0.0,30.887999999999998,13.454099999999999,0.0,45.498419999999996
24,6,394,0,400,151,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,0.7801199999999998,0.0,31.679999999999996,13.454099999999999,0.0,46.310219999999994
25,6,404,0,410,152,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,0.7999199999999999,0.0,32.472,13.543199999999999,0.0,47.21112
26,6,414,0,420,152,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,0.8197199999999999,0.0,33.263999999999996,13.543199999999999,0.0,48.02291999999999
27,6,424,0,430,152,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,0.8395199999999998,0.0,34.056,13.543199999999999,0.0,48.83472
28,6,433,0,440,153,0,0.0,0.284823,0.0,0.93456,0.099462,0.0,1.3188449999999998,0.39599999999999996,0.8573399999999999,0.0,34.848,13.6323,0.0,49.73364
29,6,443,0,450,153,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,0.8771399999999999,0.0,35.64,13.6323,0.0,50.54544
30,6,453,0,460,153,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,0.89694,0.0,36.432,13.6323,0.0,51.357240000000004
31,6,463,0,470,154,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,0.9167399999999999,0.0,37.224,13.721400000000001,0.0,52.25814
32,7,473,0,480,154,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.462,0.9365399999999999,0.0,38.016,13.721400000000001,0.0,53.13594
33,7,483,0,490,154,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,0.95634,0.0,38.808,13.721400000000001,0.0,53.94774
34,7,493,0,500,155,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.462,0.9761399999999998,0.0,39.599999999999994,13.810499999999998,0.0,54.84863999999999
35,7,503,0,510,155,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,0.9959399999999998,0.0,40.391999999999996,13.810499999999998,0.0,55.660439999999994
36,7,513,0,520,155,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,1.0157399999999999,0.0,41.184,13.810499999999998,0.0,56.47223999999999
37,7,522,0,530,156,0,0.0,0.284823,0.0,0.93456,0.099462,0.0,1.3188449999999998,0.462,1.0335599999999998,0.0,41.976,13.899599999999998,0.0,57.371159999999996
38,7,532,0,540,156,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,1.0533599999999999,0.0,42.768,13.899599999999998,0.0,58.18296
39,7,542,0,550,156,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,1.07316,0.0,43.56,13.899599999999998,0.0,58.99476
40,7,552,0,560,157,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.462,1.09296,0.0,44.352,13.9887,0.0,59.89566
41,7,562,0,570,157,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.462,1.1127599999999997,0.0,45.144,13.9887,0.0,60.70746
42,8,572,0,580,157,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.528,1.1325599999999998,0.0,45.936,13.9887,0.0,61.58526
43,8,582,0,590,158,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.528,1.1523599999999998,0.0,46.727999999999994,14.0778,0.0,62.48616
44,8,592,0,600,158,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.528,1.1721599999999999,0.0,47.519999999999996,14.0778,0.0,63.29795999999999
45,8,602,0,610,159,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.528,1.19196,0.0,48.312,14.1669,0.0,64.19886
