itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
29,1,46,0,48,2,0,0.0,0.0,0.0,0.093456,0.0,0.0,0.093456,0.066,0.09107999999999998,0.0,3.8016,0.1782,0.0,4.136880000000001
30,1,47,0,49,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.09305999999999998,0.0,3.8807999999999994,0.1782,0.0,4.2180599999999995
31,1,48,0,50,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.09503999999999999,0.0,3.9599999999999995,0.1782,0.0,4.29924
32,1,49,0,51,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.09702,0.0,4.0392,0.1782,0.0,4.380420000000001
33,1,50,0,52,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.09899999999999999,0.0,4.118399999999999,0.1782,0.0,4.4616
34,1,51,0,53,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.10097999999999999,0.0,4.1975999999999996,0.1782,0.0,4.54278
35,1,52,0,54,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.10296,0.0,4.2768,0.1782,0.0,4.62396
36,1,53,0,55,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.10493999999999998,0.0,4.356,0.1782,0.0,4.70514
37,1,54,0,56,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.10691999999999999,0.0,4.4352,0.1782,0.0,4.786320000000001
38,1,55,0,57,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.10889999999999998,0.0,4.5144,0.1782,0.0,4.867500000000001
39,1,56,0,58,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.11087999999999999,0.0,4.5936,0.1782,0.0,4.94868
40,1,57,0,59,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.11285999999999997,0.0,4.6728,0.1782,0.0,5.02986
41,1,58,0,60,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.11483999999999998,0.0,4.752,0.1782,0.0,5.11104
42,1,59,0,61,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.11681999999999998,0.0,4.8312,0.1782,0.0,5.192220000000001
43,2,60,0,62,2,0,0.050655,0.031646999999999995,0.0,0.093456,0.0,0.0,0.17575799999999997,0.132,0.11879999999999999,0.0,4.9104,0.1782,0.0,5.3394
44,2,61,0,63,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.12077999999999997,0.0,4.989599999999999,0.1782,0.0,5.420579999999999
45,2,62,0,64,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.12275999999999998,0.0,5.0687999999999995,0.1782,0.0,5.50176
46,2,63,0,65,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.12473999999999998,0.0,5.148,0.1782,0.0,5.58294
47,2,64,0,66,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.12671999999999997,0.0,5.2272,0.1782,0.0,5.6641200000000005
48,2,65,0,67,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.12869999999999998,0.0,5.3064,0.1782,0.0,5.7453
49,2,66,0,68,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.13068,0.0,5.3856,0.1782,0.0,5.82648
50,2,67,0,69,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.13266,0.0,5.4648,0.1782,0.0,5.907660000000001
51,2,68,0,70,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.13463999999999998,0.0,5.544,0.1782,0.0,5.98884
52,2,69,0,71,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.13662,0.0,5.6232,0.1782,0.0,6.07002
53,2,70,0,72,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.13859999999999997,0.0,5.7024,0.1782,0.0,6.1512
54,2,71,0,73,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.14057999999999998,0.0,5.7816,0.1782,0.0,6.23238
55,2,72,0,74,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.14255999999999996,0.0,5.860799999999999,0.1782,0.0,6.31356
56,2,73,0,75,2,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.14453999999999997,0.0,5.9399999999999995,0.1782,0.0,6.39474
57,2,74,0,76,3,0,0.0,0.031646999999999995,0.0,0.093456,0.099462,0.0,0.224565,0.132,0.14651999999999998,0.0,6.0192,0.2673,0.0,6.56502
58,2,75,0,77,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.1485,0.0,6.0984,0.2673,0.0,6.646199999999999
59,2,76,0,78,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.15047999999999997,0.0,6.1776,0.2673,0.0,6.727379999999999
60,2,77,0,79,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.15245999999999998,0.0,6.2568,0.2673,0.0,6.80856
61,2,77,0,80,3,0,0.0,0.0,0.0,0.093456,0.0,0.0,0.093456,0.132,0.15245999999999998,0.0,6.335999999999999,0.2673,0.0,6.887759999999999
62,2,78,0,81,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.15443999999999997,0.0,6.4152,0.2673,0.0,6.968939999999999
63,2,79,0,82,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.15641999999999998,0.0,6.4944,0.2673,0.0,7.05012
64,2,80,0,83,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.15839999999999999,0.0,6.5736,0.2673,0.0,7.1312999999999995
65,2,81,0,84,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.16038,0.0,6.6528,0.2673,0.0,7.212479999999999
66,2,82,0,85,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.16235999999999998,0.0,6.731999999999999,0.2673,0.0,7.293659999999999
67,2,83,0,86,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.16433999999999999,0.0,6.8111999999999995,0.2673,0.0,7.374839999999999
68,2,84,0,87,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.16631999999999997,0.0,6.8904,0.2673,0.0,7.45602
69,2,85,0,88,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.16829999999999998,0.0,6.9696,0.2673,0.0,7.5371999999999995
70,2,86,0,89,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.17027999999999996,0.0,7.0488,0.2673,0.0,7.618379999999999
