itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,29,0,30,24,0,0.050655,0.9177629999999999,0.0,2.80368,2.387088,0.0,6.159186,0.066,0.05741999999999999,0.0,2.376,2.1384,0.0,4.63782
2,1,39,0,40,25,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.07721999999999998,0.0,3.1679999999999997,2.2275,0.0,5.53872
3,1,49,0,50,25,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.09702,0.0,3.9599999999999995,2.2275,0.0,6.3505199999999995
4,1,59,0,60,25,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.11681999999999998,0.0,4.752,2.2275,0.0,7.16232
5,1,69,0,70,26,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.13662,0.0,5.544,2.3165999999999998,0.0,8.06322
6,1,79,0,80,26,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.15641999999999998,0.0,6.335999999999999,2.3165999999999998,0.0,8.87502
7,1,89,0,90,27,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.17622,0.0,7.128,2.4057,0.0,9.77592
8,1,98,0,100,27,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.066,0.19404,0.0,7.919999999999999,2.4057,0.0,10.585739999999998
9,1,108,0,110,27,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.21383999999999997,0.0,8.712,2.4057,0.0,11.39754
10,1,118,0,120,28,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.23363999999999996,0.0,9.504,2.4947999999999997,0.0,12.29844
11,1,128,0,130,28,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.25343999999999994,0.0,10.296,2.4947999999999997,0.0,13.11024
12,1,138,0,140,28,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.27324,0.0,11.088,2.4947999999999997,0.0,13.922039999999999
13,1,148,0,150,29,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.29303999999999997,0.0,11.879999999999999,2.5839,0.0,14.82294
14,1,158,0,160,29,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.31283999999999995,0.0,12.671999999999999,2.5839,0.0,15.634739999999999
15,2,168,0,170,29,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.132,0.33263999999999994,0.0,13.463999999999999,2.5839,0.0,16.512539999999998
16,2,178,0,180,30,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.132,0.35244,0.0,14.256,2.6729999999999996,0.0,17.413439999999998
17,2,188,0,190,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.132,0.3722399999999999,0.0,15.048,2.6729999999999996,0.0,18.22524
18,2,198,0,200,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.132,0.39203999999999994,0.0,15.839999999999998,2.6729999999999996,0.0,19.037039999999998
19,2,208,0,210,31,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.132,0.41184,0.0,16.631999999999998,2.7620999999999998,0.0,19.937939999999998
20,2,217,0,220,31,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.132,0.42965999999999993,0.0,17.424,2.7620999999999998,0.0,20.74776
