CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
6,443,0,450,153,0,0.30393,14.019620999999997,0.0,42.0552,15.217685999999999,0.0,71.596437,0.39599999999999996,0.8771399999999999,0.0,35.64,13.6323,0.0,50.54544
6,453,0,460,153,0,0.30393,14.336090999999998,0.0,42.98976,15.217685999999999,0.0,72.847467,0.39599999999999996,0.89694,0.0,36.432,13.6323,0.0,51.357240000000004
6,463,0,470,154,0,0.30393,14.652561,0.0,43.92432,15.317148,0.0,74.197959,0.39599999999999996,0.9167399999999999,0.0,37.224,13.721400000000001,0.0,52.25814
7,473,0,480,154,0,0.354585,14.969030999999998,0.0,44.85888,15.317148,0.0,75.499644,0.462,0.9365399999999999,0.0,38.016,13.721400000000001,0.0,53.13594
7,483,0,490,154,0,0.354585,15.285500999999998,0.0,45.793440000000004,15.317148,0.0,76.750674,0.462,0.95634,0.0,38.808,13.721400000000001,0.0,53.94774
7,493,0,500,155,0,0.354585,15.601970999999997,0.0,46.727999999999994,15.41661,0.0,78.10116599999999,0.462,0.9761399999999998,0.0,39.599999999999994,13.810499999999998,0.0,54.84863999999999
7,503,0,510,155,0,0.354585,15.918440999999998,0.0,47.66256,15.41661,0.0,79.352196,0.462,0.9959399999999998,0.0,40.391999999999996,13.810499999999998,0.0,55.660439999999994
7,513,0,520,155,0,0.354585,16.234911,0.0,48.59712,15.41661,0.0,80.603226,0.462,1.0157399999999999,0.0,41.184,13.810499999999998,0.0,56.47223999999999
7,522,0,530,156,0,0.354585,16.519734,0.0,49.53168,15.516071999999998,0.0,81.922071,0.462,1.0335599999999998,0.0,41.976,13.899599999999998,0.0,57.371159999999996
7,532,0,540,156,0,0.354585,16.836204,0.0,50.46624,15.516071999999998,0.0,83.17310099999999,0.462,1.0533599999999999,0.0,42.768,13.899599999999998,0.0,58.18296
7,542,0,550,156,0,0.354585,17.152673999999998,0.0,51.4008,15.516071999999998,0.0,84.42413099999999,0.462,1.07316,0.0,43.56,13.899599999999998,0.0,58.99476
7,552,0,560,157,0,0.354585,17.469144,0.0,52.33536,15.615534,0.0,85.77462299999999,0.462,1.09296,0.0,44.352,13.9887,0.0,59.89566
7,562,0,570,157,0,0.354585,17.785614,0.0,53.269920000000006,15.615534,0.0,87.025653,0.462,1.1127599999999997,0.0,45.144,13.9887,0.0,60.70746
8,572,0,580,157,0,0.40524,18.102083999999998,0.0,54.20448,15.615534,0.0,88.327338,0.528,1.1325599999999998,0.0,45.936,13.9887,0.0,61.58526
8,582,0,590,158,0,0.40524,18.418553999999997,0.0,55.139039999999994,15.714996000000001,0.0,89.67782999999999,0.528,1.1523599999999998,0.0,46.727999999999994,14.0778,0.0,62.48616
8,592,0,600,158,0,0.40524,18.735024,0.0,56.0736,15.714996000000001,0.0,90.92886,0.528,1.1721599999999999,0.0,47.519999999999996,14.0778,0.0,63.29795999999999
8,602,0,610,159,0,0.40524,19.051493999999998,0.0,57.008160000000004,15.814457999999998,0.0,92.279352,0.528,1.19196,0.0,48.312,14.1669,0.0,64.19886
8,612,0,620,159,0,0.40524,19.367963999999997,0.0,57.94272000000001,15.814457999999998,0.0,93.530382,0.528,1.21176,0.0,49.104,14.1669,0.0,65.01066
8,621,0,630,159,0,0.40524,19.652786999999996,0.0,58.87728,15.814457999999998,0.0,94.749765,0.528,1.22958,0.0,49.896,14.1669,0.0,65.82048
8,631,0,640,160,0,0.40524,19.969257,0.0,59.81184,15.91392,0.0,96.100257,0.528,1.24938,0.0,50.687999999999995,14.256,0.0,66.72138
8,641,0,650,160,0,0.40524,20.285726999999998,0.0,60.7464,15.91392,0.0,97.351287,0.528,1.2691799999999998,0.0,51.48,14.256,0.0,67.53317999999999
8,651,0,660,160,0,0.40524,20.602196999999997,0.0,61.680960000000006,15.91392,0.0,98.60231700000001,0.528,1.2889799999999998,0.0,52.272,14.256,0.0,68.34497999999999
9,661,0,670,161,0,0.45589499999999994,20.918667,0.0,62.61552,16.013382,0.0,100.00346400000001,0.594,1.3087799999999998,0.0,53.064,14.345099999999997,0.0,69.31188
9,671,0,680,161,0,0.45589499999999994,21.235136999999998,0.0,63.550079999999994,16.013382,0.0,101.254494,0.594,1.3285799999999999,0.0,53.855999999999995,14.345099999999997,0.0,70.12368
9,681,0,690,161,0,0.45589499999999994,21.551606999999997,0.0,64.48464,16.013382,0.0,102.50552400000001,0.594,1.34838,0.0,54.647999999999996,14.345099999999997,0.0,70.93548
9,691,0,700,162,0,0.45589499999999994,21.868077,0.0,65.4192,16.112844,0.0,103.856016,0.594,1.3681799999999997,0.0,55.44,14.434199999999999,0.0,71.83637999999999
9,701,0,710,162,0,0.45589499999999994,22.184547,0.0,66.35376000000001,16.112844,0.0,105.107046,0.594,1.3879799999999998,0.0,56.23199999999999,14.434199999999999,0.0,72.64818
9,711,0,720,162,0,0.45589499999999994,22.501016999999997,0.0,67.28832,16.112844,0.0,106.35807599999998,0.594,1.4077799999999998,0.0,57.024,14.434199999999999,0.0,73.45998
9,720,0,730,163,0,0.45589499999999994,22.785839999999997,0.0,68.22288,16.212305999999998,0.0,107.67692100000001,0.594,1.4255999999999998,0.0,57.815999999999995,14.523299999999999,0.0,74.35889999999999
9,730,0,740,163,0,0.45589499999999994,23.102309999999996,0.0,69.15744,16.212305999999998,0.0,108.927951,0.594,1.4453999999999998,0.0,58.608000000000004,14.523299999999999,0.0,75.17070000000001
9,740,0,750,163,0,0.45589499999999994,23.418779999999998,0.0,70.092,16.212305999999998,0.0,110.178981,0.594,1.4651999999999998,0.0,59.4,14.523299999999999,0.0,75.98249999999999
9,750,0,760,164,0,0.45589499999999994,23.735249999999997,0.0,71.02656,16.311768,0.0,111.529473,0.594,1.4849999999999999,0.0,60.192,14.6124,0.0,76.8834
