CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
5,464,0,470,84,0,0.253275,14.684207999999998,0.0,43.92432,8.354808,0.0,67.216611,0.33,0.9187199999999999,0.0,37.224,7.484399999999999,0.0,45.957119999999996
5,474,0,480,84,0,0.253275,15.000677999999999,0.0,44.85888,8.354808,0.0,68.467641,0.33,0.9385199999999999,0.0,38.016,7.484399999999999,0.0,46.76892
5,484,0,490,85,0,0.253275,15.317148,0.0,45.793440000000004,8.45427,0.0,69.818133,0.33,0.95832,0.0,38.808,7.573499999999999,0.0,47.66982
5,494,0,500,85,0,0.253275,15.633617999999998,0.0,46.727999999999994,8.45427,0.0,71.06916299999999,0.33,0.97812,0.0,39.599999999999994,7.573499999999999,0.0,48.48161999999999
6,504,0,510,85,0,0.30393,15.950088,0.0,47.66256,8.45427,0.0,72.370848,0.39599999999999996,0.9979199999999998,0.0,40.391999999999996,7.573499999999999,0.0,49.35942
6,514,0,520,86,0,0.30393,16.266558,0.0,48.59712,8.553731999999998,0.0,73.72134,0.39599999999999996,1.0177199999999997,0.0,41.184,7.662599999999999,0.0,50.26031999999999
6,524,0,530,86,0,0.30393,16.583028,0.0,49.53168,8.553731999999998,0.0,74.97237,0.39599999999999996,1.0375199999999998,0.0,41.976,7.662599999999999,0.0,51.07212
6,534,0,540,86,0,0.30393,16.899497999999998,0.0,50.46624,8.553731999999998,0.0,76.2234,0.39599999999999996,1.0573199999999998,0.0,42.768,7.662599999999999,0.0,51.883919999999996
6,544,0,550,87,0,0.30393,17.215967999999997,0.0,51.4008,8.653194000000001,0.0,77.57389199999999,0.39599999999999996,1.0771199999999999,0.0,43.56,7.751699999999999,0.0,52.78482
6,554,0,560,87,0,0.30393,17.532438,0.0,52.33536,8.653194000000001,0.0,78.824922,0.39599999999999996,1.09692,0.0,44.352,7.751699999999999,0.0,53.596619999999994
6,563,0,570,87,0,0.30393,17.817261,0.0,53.269920000000006,8.653194000000001,0.0,80.04430500000001,0.39599999999999996,1.1147399999999998,0.0,45.144,7.751699999999999,0.0,54.406439999999996
6,573,0,580,88,0,0.30393,18.133731,0.0,54.20448,8.752656,0.0,81.394797,0.39599999999999996,1.1345399999999999,0.0,45.936,7.840799999999999,0.0,55.30734
6,583,0,590,88,0,0.30393,18.450200999999996,0.0,55.139039999999994,8.752656,0.0,82.645827,0.39599999999999996,1.1543399999999997,0.0,46.727999999999994,7.840799999999999,0.0,56.119139999999994
6,593,0,600,88,0,0.30393,18.766671,0.0,56.0736,8.752656,0.0,83.896857,0.39599999999999996,1.1741399999999997,0.0,47.519999999999996,7.840799999999999,0.0,56.93094
6,603,0,610,89,0,0.30393,19.083140999999998,0.0,57.008160000000004,8.852117999999999,0.0,85.247349,0.39599999999999996,1.1939399999999998,0.0,48.312,7.9299,0.0,57.83184
7,613,0,620,89,0,0.354585,19.399610999999997,0.0,57.94272000000001,8.852117999999999,0.0,86.549034,0.462,1.2137399999999998,0.0,49.104,7.9299,0.0,58.70963999999999
7,623,0,630,89,0,0.354585,19.716081,0.0,58.87728,8.852117999999999,0.0,87.800064,0.462,1.2335399999999999,0.0,49.896,7.9299,0.0,59.52144
7,633,0,640,90,0,0.354585,20.032550999999998,0.0,59.81184,8.95158,0.0,89.150556,0.462,1.25334,0.0,50.687999999999995,8.019,0.0,60.42233999999999
7,643,0,650,90,0,0.354585,20.349020999999997,0.0,60.7464,8.95158,0.0,90.40158600000001,0.462,1.27314,0.0,51.48,8.019,0.0,61.23414
